"No.","Time","Source","Destination","Protocol","Length","Info"
"35277","82.309554","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35278","82.309554","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35279","82.309565","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35280","82.309573","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35281","82.309582","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35282","82.309607","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35283","82.309607","192.168.1.162","65.246.5.18","UDP","77","50854  >  443 Len=35"
"35284","82.309607","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35285","82.309617","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35286","82.309625","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35287","82.309646","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35288","82.309646","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35289","82.309655","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35290","82.309666","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35291","82.309676","192.168.1.162","65.246.5.18","UDP","77","50854  >  443 Len=35"
"35292","82.309676","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35293","82.309687","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35294","82.309697","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35295","82.309708","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35296","82.309737","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35297","82.309737","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35298","82.309737","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35299","82.309750","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35300","82.309761","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35301","82.309771","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35302","82.309782","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35303","82.309792","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35304","82.309803","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35305","82.309814","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35306","82.309824","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35307","82.309840","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35308","82.309844","192.168.1.162","65.246.5.18","UDP","77","50854  >  443 Len=35"
"35309","82.309847","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35310","82.309856","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35311","82.309880","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35312","82.309888","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35313","82.309888","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35314","82.309898","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35315","82.309908","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35316","82.309913","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35317","82.309919","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35318","82.309929","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35319","82.309943","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35320","82.309950","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35321","82.309962","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35322","82.309967","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35323","82.309971","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35324","82.309986","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35325","82.309993","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35326","82.310002","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35327","82.310013","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35328","82.310023","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35329","82.310034","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35330","82.310045","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35331","82.310053","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35332","82.310056","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35333","82.310079","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35334","82.310079","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35335","82.310089","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35336","82.310111","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35337","82.310111","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35338","82.310121","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35339","82.310129","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35340","82.310139","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35341","82.310146","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35342","82.310150","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35343","82.310161","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35344","82.310171","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35345","82.310182","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35346","82.310192","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35347","82.310200","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35348","82.310202","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35349","82.310213","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35350","82.310224","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35351","82.310234","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35352","82.310244","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35353","82.310255","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35354","82.310266","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35355","82.310277","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35356","82.310287","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35357","82.310317","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35358","82.310317","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35359","82.310317","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35360","82.310362","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35361","82.310362","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35362","82.310362","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
